iter	Passed	Remaining
400	24193	36139
401	24251	36075
402	24309	36011
403	24369	35951
404	24429	35890
405	24489	35828
406	24547	35766
407	24608	35706
408	24667	35644
409	24725	35580
410	24787	35522
411	24850	35466
412	24911	35407
413	24968	35342
414	25027	35279
415	25088	35220
416	25153	35167
417	25213	35105
418	25277	35050
419	25340	34994
420	25400	34932
421	25461	34874
422	25522	34814
423	25585	34757
424	25646	34698
425	25705	34635
426	25765	34574
427	25824	34513
428	25882	34449
429	25943	34390
430	26002	34328
431	26063	34268
432	26123	34208
433	26185	34150
434	26243	34085
435	26304	34026
436	26363	33964
437	26424	33905
438	26484	33845
439	26544	33784
440	26602	33720
441	26668	33667
442	26725	33602
443	26786	33544
444	26847	33484
445	26905	33421
446	26966	33360
447	27023	33296
448	27082	33235
449	27143	33175
450	27203	33114
451	27262	33052
452	27322	32992
453	27384	32934
454	27441	32869
455	27501	32808
456	27560	32747
457	27622	32688
458	27680	32625
459	27741	32565
460	27799	32503
461	27859	32442
462	27923	32386
463	27985	32328
464	28043	32264
465	28101	32201
466	28158	32138
467	28218	32077
468	28277	32015
469	28335	31953
470	28404	31902
471	28461	31838
472	28520	31776
473	28583	31719
474	28645	31660
475	28704	31599
476	28763	31537
477	28820	31473
478	28878	31410
479	28938	31349
480	28998	31289
481	29059	31229
482	29116	31165
483	29175	31103
484	29233	31042
485	29291	30978
486	29353	30921
487	29415	30861
488	29474	30800
489	29534	30740
490	29595	30680
491	29654	30618
492	29714	30558
493	29779	30502
494	29840	30443
495	29900	30382
496	29959	30320
497	30016	30257
498	30077	30198
499	30134	30134
500	30193	30073
501	30253	30012
502	30310	29949
503	30373	29891
504	30432	29830
505	30490	29767
506	30549	29706
507	30611	29646
508	30669	29584
509	30730	29525
510	30788	29463
511	30849	29403
512	30910	29344
513	30970	29282
514	31033	29225
515	31092	29164
516	31154	29105
517	31214	29044
518	31278	28987
519	31337	28926
520	31395	28864
521	31459	28807
522	31516	28744
523	31578	28686
524	31637	28623
525	31698	28564
526	31757	28503
527	31815	28441
528	31874	28379
529	31935	28320
530	31993	28258
531	32050	28194
532	32111	28135
533	32174	28077
534	32233	28015
535	32293	27955
536	32352	27894
537	32417	27837
538	32472	27772
539	32533	27713
540	32594	27654
541	32649	27589
542	32710	27529
543	32776	27474
544	32839	27416
545	32899	27355
546	32960	27296
547	33018	27234
548	33078	27173
549	33138	27113
550	33208	27061
551	33306	27031
552	33368	26972
553	33429	26912
554	33489	26851
555	33552	26793
556	33610	26731
557	33672	26672
558	33734	26613
559	33794	26553
560	33856	26494
561	33916	26433
562	33978	26373
563	34037	26312
564	34098	26253
565	34155	26189
566	34214	26128
567	34271	26065
568	34330	26003
569	34396	25947
570	34454	25886
571	34516	25827
572	34576	25766
573	34640	25709
574	34696	25645
575	34758	25586
576	34822	25528
577	34881	25467
578	34940	25405
579	34998	25343
580	35059	25283
581	35116	25220
582	35173	25158
583	35231	25096
584	35289	25034
585	35349	24974
586	35410	24913
587	35469	24852
588	35529	24792
589	35587	24730
590	35647	24669
591	35709	24610
592	35767	24548
593	35830	24490
594	35890	24429
595	35949	24368
596	36008	24307
597	36068	24246
598	36127	24185
599	36184	24123
600	36247	24064
601	36305	24002
602	36366	23942
603	36424	23881
604	36485	23821
605	36543	23759
606	36602	23698
607	36658	23635
608	36719	23575
609	36779	23514
610	36837	23453
611	36912	23401
612	36978	23345
613	37045	23289
614	37116	23235
615	37185	23180
616	37256	23126
617	37342	23082
618	37427	23036
619	37506	22987
620	37582	22936
621	37653	22882
622	37728	22830
623	37809	22782
624	37887	22732
625	37961	22679
626	38038	22628
627	38116	22578
628	38202	22532
629	38282	22483
630	38358	22431
631	38446	22386
632	38527	22337
633	38617	22293
634	38707	22249
635	38792	22201
636	38866	22148
637	38947	22098
638	39024	22046
639	39096	21992
640	39171	21938
641	39249	21887
642	39324	21833
643	39399	21779
644	39484	21731
645	39566	21681
646	39646	21630
647	39728	21581
648	39806	21528
649	39878	21472
650	39951	21417
651	40025	21363
652	40096	21307
653	40173	21253
654	40244	21197
655	40316	21141
656	40395	21089
657	40475	21037
658	40555	20985
659	40634	20933
660	40706	20876
661	40777	20819
662	40856	20767
663	40925	20709
664	40994	20651
665	41062	20592
666	41136	20537
667	41202	20477
668	41267	20417
669	41331	20357
670	41394	20296
671	41459	20236
672	41524	20175
673	41583	20113
674	41648	20053
675	41711	19992
676	41771	19929
677	41833	19867
678	41894	19805
679	41954	19743
680	42014	19680
681	42073	19617
682	42133	19555
683	42190	19491
684	42253	19430
685	42311	19366
686	42370	19303
687	42431	19242
688	42492	19180
689	42552	19117
690	42611	19055
691	42672	18992
692	42730	18929
693	42789	18866
694	42848	18804
695	42908	18741
696	42966	18678
697	43027	18616
698	43086	18553
699	43147	18491
700	43207	18429
701	43265	18366
702	43326	18304
703	43390	18243
704	43453	18182
705	43514	18120
706	43571	18057
707	43633	17995
708	43689	17931
709	43749	17869
710	43808	17806
711	43869	17745
712	43927	17682
713	43985	17618
714	44044	17556
715	44112	17497
716	44172	17434
717	44232	17372
718	44289	17309
719	44349	17247
720	44408	17184
721	44472	17123
722	44534	17062
723	44592	16999
724	44652	16937
725	44712	16875
726	44771	16812
727	44827	16748
728	44885	16685
729	44945	16623
730	45007	16562
731	45064	16499
732	45125	16437
733	45185	16375
734	45245	16313
735	45306	16251
736	45367	16189
737	45426	16126
738	45486	16064
739	45546	16002
740	45607	15941
741	45667	15879
742	45726	15816
743	45785	15754
744	45843	15691
745	45903	15629
746	45962	15566
747	46023	15505
748	46082	15443
749	46140	15380
750	46204	15319
751	46261	15256
752	46320	15194
753	46379	15131
754	46462	15077
755	46527	15016
756	46585	14954
757	46646	14892
758	46705	14830
759	46763	14767
760	46821	14704
761	46882	14643
762	46944	14581
763	47003	14519
764	47062	14457
765	47125	14396
766	47187	14334
767	47247	14272
768	47307	14210
769	47369	14149
770	47426	14086
771	47485	14024
772	47542	13961
773	47598	13898
774	47657	13835
775	47716	13773
776	47777	13712
777	47834	13649
778	47893	13587
779	47953	13525
780	48010	13462
781	48072	13401
782	48129	13338
783	48189	13276
784	48247	13214
785	48308	13152
786	48366	13090
787	48427	13028
788	48485	12966
789	48543	12904
790	48602	12841
791	48661	12779
792	48721	12717
793	48784	12656
794	48843	12594
795	48907	12534
796	48967	12472
797	49028	12410
798	49090	12349
799	49151	12287
800	49211	12226
801	49272	12164
802	49331	12102
803	49393	12041
804	49461	11981
805	49520	11919
806	49580	11857
807	49640	11795
808	49696	11733
809	49757	11671
810	49823	11611
811	49885	11549
812	49950	11489
813	50011	11427
